rank	elo	pm	games	wins	losses	white_wins	white_losses	black_wins	black_losses	avg_plies	ms_move	cpu_ms_move	nodes_move	eff	active	id
1	1141	24	504	442	62	240	12	202	50	37.1	0.253	6.554	973	90	gone	ab(deep=6,tt,ord,margin=100,nodes=200k)@1.classic(chip=100)@1
2	1128	24	504	438	66	241	11	197	55	37.6	0.179	5.336	666	91	gone	ab(deep=6,tt,ord,margin=25,nodes=200k)@1.classic(chip=100)@1
3	1117	23	504	434	70	249	3	185	67	41.6	8.196	9.591	83762	84	gone	ab(deep=6,ord,nodes=200k)@1.classic(chip=100)@1
4	1109	9	2780	2321	459	1144	246	1177	213	45.4	142.510	138.026	473353	65	gone	ab(deep=8,tt,ord,nodes=2m)@1.classic(chip=100)@2
5	1103	12	1880	1642	238	836	104	806	134	44.1	118.576	115.401	393835	66	gone	ab(deep=8,tt,ord,nodes=2m)@1.classic(chip=100)@2.dil(prob=15,deep=6)@1
6	1102	23	504	429	75	233	19	196	56	38.5	0.177	4.949	664	90	gone	ab(deep=6,tt,ord,margin=50,nodes=200k)@1.classic(chip=100)@1
7	1094	23	504	426	78	234	18	192	60	38.3	2.763	7.152	14712	85	gone	ab(deep=6,tt,nodes=200k)@1.classic(chip=100)@1
8	1094	23	504	426	78	234	18	192	60	38.3	2.843	4.995	14822	89	gone	ab(deep=6,tt,ord,nodes=200k)@1.classic(chip=100)@1
9	1091	11	1880	1626	254	815	125	811	129	44.2	94.993	92.603	315232	66	gone	ab(deep=8,tt,ord,nodes=2m)@1.classic(chip=100)@2.dil(prob=30,deep=6)@1
10	1085	18	1028	964	64	487	27	477	37	53.9	25.067	24.883	91585	74	on	ab(deep=6,tt,ord,nodes=200k)@2.learned(model=169,4975683c,tdleaf_self,lin,shape=129-1)@1
11	1071	17	1028	956	72	483	31	473	41	51.5	25.976	25.680	93685	73	on	ab(deep=6,tt,ord,nodes=200k)@2.learned(model=602,68cbb27d,tdleaf_self,lin,shape=129-1)@1
12	1051	22	504	410	94	246	6	164	88	37.6	5.282	7.564	124482	82	gone	ab(deep=6,nodes=200k)@1.classic(chip=100)@1
13	1041	10	1975	1599	376	808	174	791	202	54.7	24.104	22.553	74641	72	gone	ab(deep=6,tt,ord,nodes=200k)@1.learned(model=169,4975683c,tdleaf_self,lin,shape=129-1)@1
14	1038	8	2596	1974	622	1001	297	973	325	55.3	13.824	13.389	45647	76	gone	ab(deep=6,tt,ord,nodes=200k)@1.learned(model=98,5801570e,pool_games,lin,shape=129-1)@1.opener(book,book=11)@1
15	1037	26	318	256	62	138	21	118	41	36.7	1.619	5.896	7690	83	gone	ab(deep=6,tt,ord,nodes=200k)@1.classic(chip=100)@1.dil(prob=15,deep=3)@1
16	1031	16	1028	931	97	475	39	456	58	51.5	26.313	26.071	95315	70	on	ab(deep=6,tt,ord,nodes=200k)@2.learned(model=349,5ee50d5c,tdleaf_self,lin,shape=129-1)@1
17	1025	26	318	253	65	139	20	114	45	36.8	0.201	5.997	794	82	gone	ab(deep=6,tt,ord,nodes=200k)@1.classic(chip=100)@1.dil(prob=15,deep=4)@1
18	1024	8	2596	1938	658	1014	284	924	374	55.0	15.371	14.789	50887	74	gone	ab(deep=6,tt,ord,nodes=200k)@1.learned(model=98,5801570e,pool_games,lin,shape=129-1)@1.opener(book,book=10)@1
19	1014	9	1800	1255	545	638	262	617	283	56.6	16.051	15.467	54188	73	gone	ab(d6,tt,ord,nb200k)@1.learned(s6,eac8ab99)@1
20	1013	8	2636	1942	694	906	412	1036	282	46.4	7.676	7.291	23402	79	gone	ab(deep=6,tt,ord,nodes=200k)@1.classic(chip=100)@2.opener(book,book=2)@1
