rank	elo	pm	games	wins	losses	white_wins	white_losses	black_wins	black_losses	avg_plies	ms_move	cpu_ms_move	nodes_move	eff	active	id
1	1292	12	3404	3204	200	1614	88	1590	112	52.8	25.291	25.052	91807	88	on	ab(deep=6,tt,ord,nodes=200k)@2.learned(model=169,4975683c,tdleaf_self,lin,shape=129-1)@1
2	1284	12	3404	3194	210	1618	84	1576	126	51.0	26.218	25.900	94136	88	on	ab(deep=6,tt,ord,nodes=200k)@2.learned(model=602,68cbb27d,tdleaf_self,lin,shape=129-1)@1
3	1257	24	504	442	62	240	12	202	50	37.1	0.253	6.554	973	99	gone	ab(deep=6,tt,ord,margin=100,nodes=200k)@1.classic(chip=100)@1
4	1245	24	504	438	66	241	11	197	55	37.6	0.179	5.336	666	101	gone	ab(deep=6,tt,ord,margin=25,nodes=200k)@1.classic(chip=100)@1
5	1244	9	2780	2321	459	1144	246	1177	213	45.4	142.510	138.026	473353	73	gone	ab(deep=8,tt,ord,nodes=2m)@1.classic(chip=100)@2
6	1239	12	1880	1642	238	836	104	806	134	44.1	118.576	115.401	393835	74	gone	ab(deep=8,tt,ord,nodes=2m)@1.classic(chip=100)@2.dil(prob=15,deep=6)@1
7	1233	23	504	434	70	249	3	185	67	41.6	8.196	9.591	83762	93	gone	ab(deep=6,ord,nodes=200k)@1.classic(chip=100)@1
8	1227	11	1880	1626	254	815	125	811	129	44.2	94.993	92.603	315232	74	gone	ab(deep=8,tt,ord,nodes=2m)@1.classic(chip=100)@2.dil(prob=30,deep=6)@1
9	1227	10	3404	3111	293	1572	130	1539	163	50.8	26.623	26.276	95202	84	on	ab(deep=6,tt,ord,nodes=200k)@2.learned(model=349,5ee50d5c,tdleaf_self,lin,shape=129-1)@1
10	1219	23	504	429	75	233	19	196	56	38.5	0.177	4.949	664	99	gone	ab(deep=6,tt,ord,margin=50,nodes=200k)@1.classic(chip=100)@1
11	1210	23	504	426	78	234	18	192	60	38.3	2.763	7.152	14712	95	gone	ab(deep=6,tt,nodes=200k)@1.classic(chip=100)@1
12	1210	23	504	426	78	234	18	192	60	38.3	2.843	4.995	14822	98	gone	ab(deep=6,tt,ord,nodes=200k)@1.classic(chip=100)@1
13	1181	10	3404	3030	374	1562	140	1468	234	51.7	27.485	27.209	99581	80	on	ab(deep=6,tt,ord,nodes=200k)@2.learned(model=603,2da121ee,tdleaf_self,lin,shape=129-1)@1
14	1180	10	3404	3029	375	1564	138	1465	237	41.5	131.374	130.057	485343	69	on	ab(deep=8,tt,ord,nodes=2m)@2.classic(chip=100)@2
